,CA,CN,DE,ES,FR,IN,IT,JP,UK,US
Apparel,,,,,,,,,83451031,1036682
Appliances,,,,,,,,,,2619526011
Arts & Crafts,,,,,,,,,,2617942011
Automotive,,,,,,,,,248878031,15690151
Baby,3561347011,,357577011,,,,,,60032031,165797011
Beauty,6205125011,,,,,,,,117333031,11055981
Books,927726,,,,,976390031,,,1025612,1000
Collectibles,,,,,,,,,,4991426011
Computers,,,,,,976393031,,,,541966
DVD,952768,,547664,599380031,235554011,976417031,412607031,,573406,2625374011
Electronics,677211011,,,,,976420031,,,560800,493964
Gift Cards,,,,,,,,,,2973079011
Gourmet Food,,,,,,,,,,2255571011
Grocery,,,,,,,,,344155031,16310211
Health,,,,,,,,,66280031,3760931
Home & Garden,,,,,,,,,,1063498
Industrial & Science,,,,,,,,,,16310161
Jewelry,,,,,,1951049031,,,,3880591
Kindle eBooks,,,530485031,,,,,,341678031,358606011
Kitchen,2224068011,,,,,,,,3147411,284507
Lawn & Garden,,,,,,,,,,3238155011
Magazines,,,,,,,,,,599872
Mobile Apps,,,,,,,,,,2350150011
MP3 Downloads,,,,,,,,,77198031,624868011
Music,962454,,,,,,,,520920,301668
Musical Instruments,,,,,,,,,340838031,11965861
Office Products,,,,,,,,,192414031,1084128
PC & Video Games,3234221,,,,,,,,1025616,11846801
Pet Supplies,6291628011,,,,,,,,,2619534011
Photo & Camera,,,,,,,,,,502394
Shoes,,,,,,,,,362350011,672124011
Software,3234171,,542064,599377031,,,412613031,,1025614,491286
Sporting Goods,,,,,,,,,,3375301
Tools & Hardware,,,,,,,,,,468240
Toys,,,,,,1350381031,,,595314,165795011
Video On Demand,,,,,,,,,,2625374011
Watches,,,,,,1350388031,,,328229011,378516011
Wireless,,,,,,,,,,2335753011
Wireless Accessories,,,,,,,,,,2407755011
Home Improvement,,,,,,,,,10709121,
Home/Garden,,,,,,,,,3147411,
Jewellery,,,,,,,,,193717031,
Lighting,,,,,,,,,213078031,
Outdoor Living,,,,,,,,,10709021,
Sports & Leisure,,,,,,,,,319530011,
Tools,,,,,,,,,84124031,
VHS,962072,,,,,,,,573400,
Health & Personal Care,6205178011,,,,,,,,,
Kindle,2972706011,,,,,,,,,
Lawn/Garden,6299024011,,,,,,,,,
Sports & Outdoors,2242990011,,,,,,,,,
Auto & Motorrad,,,79899031,,,,,,,
Bücher,,,541686,,,,,,,
Bürobedarf,,,192417031,,,,,,,
Bekleidung,,,78689031,,,,,,,
Beleuchtung,,,213084031,,,,,,,
Computer,,,368179031,,,,,,,
Elektronik,,,569604,,,,,,,
English Books,,,54071011,,69633011,,433843031,,,
Games,,,541708,,,,,,,
Gesundheit,,,64263031,,,,,,,
Haus/Garten,,,10925241,,,,,,,
Heimwerken,,,10925051,,,,,,,
Kamera/Foto,,,571860,,,,,,,
Küche,,,3169011,,,,,,,
Lebensmittel & Getränke,,,340847031,,,,,,,
MP3-Downloads,,,180529031,,,,,,,
Musik,,,542676,,,,,,,
Musikinstrumente,,,340850031,,,,,,,
Outdoor/Freizeit,,,11048231,,,,,,,
