Apparel, salesrank:relevancerank:-price:price
Appliances, -price:price:salesrank:reviewrank:relevancerank
Automotive, reviewrank:-price:price:salesrank:relevancerank
Baby, titlerank:-price:price:salesrank:psrank
Beauty, reviewrank:relevancerank:-price:price
Books, -titlerank:titlerank:daterank:inverse-pricerank:pricerank:salesrank
Classical, -releasedate:releasedate:orig-rel-date:-orig-rel-date:-titlerank:titlerank:-price:price:-pricerank:pricerank:salesrank
DVD, -releasedate:releasedate:orig-rel-date:-orig-rel-date:-titlerank:titlerank:-price:price:-pricerank:pricerank:salesrank
Electronics, releasedate:-releasedate:-titlerank:titlerank:-price:price:salesrank
ForeignBooks, -titlerank:titlerank:daterank:inverse-pricerank:pricerank:salesrank
Grocery, reviewrank:-price:price:salesrank
HealthPersonalCare, -titlerank:titlerank:-price:price:salesrank
Hobbies, -mfg-age-min:mfg-age-min:-release-date:release-date:-titlerank:titlerank:-price:price:salesrank
HomeImprovement, reviewrank:relevancerank:-price:price:salesrank
Jewelry, reviewrank:relevancerank:-price:price:salesrank
KindleStore, reviewrank_authority:reviewrank:relevancerank:-price:price:daterank
Kitchen, -releasedate:releasedate:release-date:-release-date:-titlerank:titlerank:-price:price:salesrank
Marketplace, -launch-date:-titlerank:titlerank:-price:price:salesrank
MobileApps, reviewrank_authority:reviewrank:relevancerank:-price:price:pmrank
MP3Downloads, releasedate:-releank:reviewrank_authority:-price-new-bin:price-new-bin:-price:price:-runtime:runtime:-albumrank:albumrank:-artistalbumrank:artistalbumrank:-titlerank:titlerank:salesrank:relevancerank
Music, -releasedate:releasedate:orig-rel-date:-orig-rel-date:-titlerank:titlerank:-price:price:-pricerank:pricerank:salesrank
MusicalInstruments, relevancerank:-price:price:salesrank:reviewrank
MusicTracks, -titlerank:titlerank
OfficeProducts, reviewrank:relevancerank:-price:price:salesrank
Shoes, reviewrank:relevancerank:-price:price:salesrank
Software, -releasedate:releasedate:release-date:-release-date:-titlerank:titlerank:-price:price:salesrank
SportingGoods, -releasedate:releasedate:-titlerank:titlerank:-price:price:salesrank
Toys, -releasedate:releasedate:release-date:-release-date:-titlerank:titlerank:-price:price:salesrank
VHS, -releasedate:releasedate:orig-rel-date:-orig-rel-date:-titlerank:titlerank:-price:price:-pricerank:pricerank:salesrank
Video, -releasedate:releasedate:orig-rel-date:-orig-rel-date:-titlerank:titlerank:-pricerank:pricerank:-price:price:salesrank
VideoGames, -releasedate:releasedate:release-date:-release-date:-titlerank:titlerank:-price:price:salesrank
Watches, -titlerank:titlerank:-price:price:salesrank
