Apparel, sale-flag:-launch-date:inverseprice:pricerank:salesrank:relevancerank
Appliances, reviewrank:relevancerank:-price:price:pmrank:salesrank
ArtsAndCrafts, reviewrank:relevancerank:-price:price:pmrank
Automotive, -titlerank:titlerank:-price:price:salesrank
Baby, titlerank:-price:price:salesrank:psrank
Beauty, sale-flag:-launch-date:-price:price:salesrank:pmrank
Books, -titlerank:titlerank:daterank:inverse-pricerank:pricerank:reviewrank:salesrank:relevancerank
Classical, -releasedate:releasedate:-orig-rel-date:orig-rel-date:-titlerank:titlerank:-price:price:salesrank:psrank
Collectibles, salesrank:reviewrank:relevancerank:-price:price
DigitalMusic, uploaddaterank:songtitlerank
DVD, releasedate:-video-release-date:titlerank:-price:price:salesrank:relevancerank
Electronics, titlerank:-price:price:reviewrank:salesrank:pmrank
Grocery, sale-flag:launch-date:inverseprice:pricerank:salesrank:relevancerank
HealthPersonalCare, sale-flag:launch-date:inverseprice:pricerank:salesrank:pmrank
HomeGarden, -titlerank:titlerank:-price:price:salesrank
undefined, -titlerank:titlerank:-price:price:salesrank:pmrank
Jewelry, launch-date:inverseprice:pricerank:salesrank:pmrank
KindleStore, reviewrank:relevancerank:-price:price:-edition-sales-velocity:daterank
Kitchen, -titlerank:titlerank:-price:price:salesrank:pmrank
LawnAndGarden, -price:price:salesrank:reviewrank:relevancerank
Magazines, -titlerank:titlerank:daterank:-price:price:reviewrank:subslot-salesrank
Marketplace, -launch-date:-titlerank:titlerank:-price:price:salesrank
Merchants, sale-flag:-launch-date:inverseprice:pricerank:salesrank:relevancerank
Miscellaneous, -titlerank:titlerank:-price:price:salesrank:pmrank
MobileApps, reviewrank:relevancerank:-price:price:pmrank
MP3Downloads, salesrank:relevancerank:-releasedate:-price:price
Music, relevancerank:-releasedate:releasedate:release-date:orig-rel-date:artistrank:-titlerank:titlerank:-price:price:salesrank:psrank
MusicalInstruments, sale-flag:-launch-date:-price:price:salesrank:pmrank
MusicTracks, -titlerank:titlerank
OfficeProducts, titlerank:-price:price:reviewrank:salesrank:pmrank
OutdoorLiving, -titlerank:titlerank:-price:price:salesrank:psrank
PCHardware, titlerank:-price:price:salesrank:psrank
PetSupplies, reviewrank:relevancerank:-titlerank:titlerank:-price:price:salesrank:+pmrank
Photo, -titlerank:titlerank:-price:price:salesrank:pmrank
Shoes, reviewrank:relevancerank:-price:price:pmrank:-launch-date
Software, titlerank:-price:price:salesrank:pmrank
SportingGoods, sale-flag:launch-date:inverseprice:pricerank:salesrank:relevancerank
Tools, -titlerank:titlerank:-price:price:salesrank:pmrank
Toys, -age-min:titlerank:-price:price:salesrank:pmrank
UnboxVideo, -video-release-date:titlerank:-price:price:salesrank:relevancerank
VHS, -releasedate:-video-release-date:titlerank:-price:price:salesrank:relevancerank
Video, -releasedate:-video-release-date:titlerank:-price:price:salesrank:relevancerank
VideoGames, titlerank:-price:price:salesrank:pmrank
Watches, salesrank:reviewrank:relevancerank:-price:price
Wireless, -titlerank:titlerank:salesrank:reviewrank:inverse-pricerank:pricerank:daterank
WirelessAccessories, -titlerank:titlerank:salesrank:psrank
